Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
530,2009,NBA,2,36,MEM,Sam Young,24.03,F,us,University of Pittsburgh,2010.0,2013.0,249.0,15.9,5.8,2.3,0.7,0.5,0.2,0.442,0.468,0.28,0.742,5.2,0.063
531,2013,NBA,2,55,MEM,Joffrey Lauvergne,21.276,C-F,fr,,2015.0,2018.0,208.0,13.6,5.6,3.8,0.9,0.3,0.2,0.479,0.52,0.285,0.719,5.2,0.089
532,2014,NBA,2,33,CLE,Joe Harris,22.299,G,us,University of Virginia,2015.0,2019.0,191.0,19.7,7.7,2.5,1.2,0.4,0.2,0.462,0.545,0.407,0.772,5.2,0.066
533,1998,NBA,2,33,SEA,Jelani McCoy,20.205,C,us,"University of California, Los Angeles",1999.0,2008.0,260.0,14.7,4.6,3.5,0.5,0.3,0.7,0.539,0.539,,0.49,5.1,0.064
534,2015,NBA,2,46,MIL,Norman Powell,22.036,G,us,"University of California, Los Angeles",2016.0,2019.0,201.0,16.2,6.6,2.1,1.1,0.6,0.2,0.429,0.5,0.324,0.803,5.1,0.075
535,2004,NBA,1,13,POR,Sebastian Telfair,19.02,G,us,,2005.0,2015.0,564.0,21.5,7.4,1.6,3.5,0.7,0.1,0.39,0.419,0.319,0.777,5.0,0.02
536,2006,NBA,2,33,ATL,Solomon Jones,21.352,F,us,University of South Florida,2007.0,2014.0,281.0,11.0,3.0,2.3,0.4,0.2,0.5,0.467,0.472,0.111,0.717,5.0,0.078
537,2008,NBA,2,47,WAS,Bill Walker,20.266,F,us,Kansas State University,2009.0,2015.0,181.0,16.7,6.0,2.2,0.8,0.5,0.1,0.446,0.56,0.369,0.76,5.0,0.079
538,2015,NBA,1,10,MIA,Justise Winslow,19.095,F,us,Duke University,2016.0,2018.0,164.0,27.7,7.5,5.3,2.0,0.9,0.4,0.41,0.44,0.314,0.653,5.0,0.053
539,2007,NBA,1,21,PHI,Daequan Cook,20.066,G,us,Ohio State University,2008.0,2013.0,328.0,18.3,6.4,2.1,0.7,0.4,0.1,0.369,0.383,0.359,0.813,4.9,0.039
