Year,Team,Record,Winning Percentage
2000,NYK,50-32,0.61
2000,SEA,45-37,0.549
2000,ORL,41-41,0.5
2000,PHI,49-33,0.598
2000,PHO,53-29,0.646
2000,POR,59-23,0.72
2000,SAC,44-38,0.537
2000,SAS,53-29,0.646
2000,TOR,45-37,0.549
2000,UTA,55-27,0.671
2000,WAS,29-53,0.354
1999,BOS,19-31,0.38
1999,ATL,31-19,0.62
1999,NJN,16-34,0.32
1999,CHH,26-24,0.52
1999,CHI,13-37,0.26
1999,CLE,22-28,0.44
1999,DAL,19-31,0.38
1999,DEN,14-36,0.28
1999,DET,29-21,0.58
1999,GSW,21-29,0.42
1999,HOU,31-19,0.62
1999,IND,33-17,0.66
1999,LAC,13758,0.18
1999,LAL,31-19,0.62
1999,VAN,Aug-42,0.16
1999,MIA,33-17,0.66
1999,MIL,28-22,0.56
1999,MIN,25-25,0.5
1999,NYK,27-23,0.54
1999,SEA,25-25,0.5
1999,ORL,33-17,0.66
1999,PHI,28-22,0.56
1999,PHO,27-23,0.54
1999,POR,35-15,0.7
1999,SAC,27-23,0.54
1999,SAS,37-13,0.74
1999,TOR,23-27,0.46
1999,UTA,37-13,0.74
1999,WAS,18-32,0.36
1998,BOS,36-46,0.439
1998,ATL,50-32,0.61
1998,NJN,43-39,0.524
1998,CHH,51-31,0.622
1998,CHI,62-20,0.756
1998,CLE,47-35,0.573
1998,DAL,20-62,0.244
1998,DEN,Nov-71,0.134
1998,DET,37-45,0.451
1998,GSW,19-63,0.232
1998,HOU,41-41,0.5
1998,IND,58-24,0.707
1998,LAC,17-65,0.207
1998,LAL,61-21,0.744
1998,VAN,19-63,0.232
1998,MIA,55-27,0.671
1998,MIL,36-46,0.439
1998,MIN,45-37,0.549
1998,NYK,43-39,0.524
1998,SEA,61-21,0.744
1998,ORL,41-41,0.5
1998,PHI,31-51,0.378
1998,PHO,56-26,0.683
1998,POR,46-36,0.561
1998,SAC,27-55,0.329
1998,SAS,56-26,0.683
1998,TOR,16-66,0.195
1998,UTA,62-20,0.756
1998,WAS,42-40,0.512
